ANX_i_c,STR_c,FREAZING_c,olderi,female,Juvenaile,PSS,inactive,HFD,FD,EBR,PBR
0.13566546762589926,0.1041903031813382,0.48121761579208844,0,0,1,1,1,0,0,0,1
0.19566546762589931,0.13919486106647955,0.27448169111495435,0,0,1,1,1,0,0,1,0
0.19566546762589931,0.1588849248768715,0.5635568445286573,0,0,1,1,1,0,0,1,0
-0.054334532,-0.061595172,0.052737405,0,0,1,1,1,0,0,0,0
0.12566546762589936,-0.146797239,0.079883809,0,0,1,1,1,0,0,0,1
0.19566546762589931,0.16392898443323733,0.4297708007912484,0,0,1,1,1,0,0,1,0
0.19566546762589931,0.2854725882010891,0.6397540776209178,0,0,1,1,1,0,0,1,0
0.005665468,0.1005439950683027,-0.020236801,0,0,1,1,1,0,0,0,0
0.19566546762589931,0.2058615277331462,0.24733528660387283,0,0,1,1,1,0,0,1,0
0.15566546762589928,-0.220331119,-0.105373374,0,0,1,1,1,0,0,0,1
-0.044334532,-0.017353301,0.19868581615390585,0,0,1,0,1,0,0,0,1
-0.174334532,-0.134642878,-0.117535742,0,0,1,0,1,0,0,0,0
-0.074334532,-0.097997482,-0.004851406,0,0,1,0,1,0,0,0,1
0.015665467625899265,-0.143029387,0.12571161047895563,0,0,1,0,1,0,0,0,1
-0.144334532,-0.183078004,-0.211611655,0,0,1,0,1,0,0,0,0
-0.414334532,-0.097997482,-0.239159418,0,0,1,0,1,0,0,0,0
-0.304334532,-0.020817293,-0.214834683,0,0,1,0,1,0,0,0,0
-0.014334532,-0.20756904,-0.089987979,0,0,1,0,1,0,0,0,1
-0.064334532,-0.098179797,-0.102150347,0,0,1,0,1,0,0,0,1
-0.064334532,-0.146797239,0.11677227028377424,0,0,1,0,1,0,0,0,1
-0.094334532,0.1041903031813382,-0.117535742,0,0,1,0,1,0,0,0,1
-0.494334532,-0.14011234,-0.22699705,0,0,1,0,1,0,0,0,0
-0.134334532,-0.217900247,-0.239159418,0,0,1,0,1,0,0,0,1
-0.204334532,-0.244032122,-0.126475082,0,0,1,0,1,0,0,0,0
-0.254334532,-0.146797239,-0.202672315,0,0,1,0,1,0,0,0,1
-0.404334532,-0.152874419,-0.214834683,0,0,1,0,1,0,0,0,1
0.005665468,-0.220331119,-0.141860477,0,0,1,0,1,0,0,0,1
-0.364334532,0.1005439950683027,-0.239159418,0,0,1,0,1,0,0,0,0
-0.204334532,-0.098179797,-0.214834683,0,0,1,0,1,0,0,0,1
-0.214334532,-0.220331119,-0.214834683,0,0,1,0,1,0,0,0,0
0.19566546762589931,0.22348535027948463,0.286644059,0,1,1,1,1,0,0,1,0
0.19566546762589931,0.15785180424484474,0.4812419405273134,0,1,1,1,1,0,0,1,0
-0.174334532,0.033877328,0.004087934,0,1,1,1,1,0,0,0,1
0.19566546762589931,0.18762998716796842,0.5177290433647885,0,1,1,1,1,0,0,1,0
0.19566546762589931,0.19431488537520025,0.26231932350246256,0,1,1,1,1,0,0,1,0
-0.144334532,0.073379,-0.17834758,0,1,1,1,1,0,0,0,0
0.19566546762589931,0.23551816705250206,0.7248906509083598,0,1,1,1,1,0,0,1,0
0.19566546762589931,0.13536623754779215,0.4816432986585255,0,1,1,1,1,0,0,1,0
0.19566546762589931,0.1408356997173455,0.32313116156492117,0,1,1,1,1,0,0,1,0
0.19566546762589931,0.15177462405645215,0.47842027124121533,0,1,1,1,1,0,0,1,0
-0.194334532,0.072345879,-0.081048639,0,1,1,1,1,0,0,0,1
-0.244334532,-0.004591222,0.10138687525397222,0,1,1,1,1,0,0,0,0
0.19566546762589931,0.1563325091977466,0.3203094922788231,0,1,1,1,1,0,0,1,0
0.19566546762589931,0.1755971703949511,0.11637091215256201,0,1,1,1,1,0,0,1,0
-0.174334532,0.12321187717100701,-0.190509947,0,1,1,1,1,0,0,0,1
-0.054334532,0.1627135483955588,0.18652344854141417,0,1,1,1,1,0,0,0,1
-0.314334532,0.12321187717100701,-0.214834683,0,1,1,1,1,0,0,0,1
0.005665468,0.013822633779940474,0.15003634570393903,0,1,1,1,1,0,0,0,1
-0.344334532,0.001485958,0.07706214,0,1,1,1,1,0,0,0,1
-0.144334532,0.012911056751681582,-0.166185212,0,1,1,1,1,0,0,0,1
0.19566546762589931,0.18307210202667396,0.28382238944134797,0,1,1,0,1,0,0,1,0
0.19566546762589931,0.13968103548155092,0.36895896272879003,0,1,1,0,1,0,0,1,0
-0.264334532,0.10437261858698998,-0.214834683,0,1,1,0,1,0,0,0,0
-0.174334532,-0.035037895,-0.154022845,0,1,1,0,1,0,0,0,0
-0.354334532,0.12078100509564993,-0.202672315,0,1,1,0,1,0,0,0,0
0.19566546762589931,0.17486790877234398,-0.032399168,0,1,1,0,1,0,0,1,0
0.19566546762589931,0.20033129376170894,0.36895896272879003,0,1,1,0,1,0,0,1,0
-0.174334532,-0.000580283,-0.105373374,0,1,1,0,1,0,0,0,0
-0.234334532,-0.053634066,-0.129698109,0,1,1,0,1,0,0,0,1
-0.074334532,0.084317924,-0.117535742,0,1,1,0,1,0,0,0,1
-0.184334532,-0.037286452,-0.126475082,0,1,1,0,1,0,0,0,1
-0.144334532,-0.102859226,0.006909604,0,1,1,0,1,0,0,0,1
-0.334334532,-0.10468238,0.019071971252628328,0,1,1,0,1,0,0,0,1
-0.284334532,0.12321187717100701,-0.117535742,0,1,1,0,1,0,0,0,1
-0.124334532,0.019535183157029512,-0.07822697,0,1,1,0,1,0,0,0,1
-0.094334532,0.084317924,0.006909604,0,1,1,0,1,0,0,0,1
-0.184334532,-0.00082337,-0.017415132,0,1,1,0,1,0,0,0,1
